ProfID,OBJECTID,X_coord,Y_coord
P6308,4608,7470038,4567066
P6310,4609,7474966,4562739
P6311,4610,7476090,4560747
P6313,4611,7509856,4667877
P6314,4612,7506033,4652988
P6315,4613,7499891,4649510
P6316,4614,7496467,4647273
P6317,4615,7497209,4640614
P6318,4616,7510199,4566718
P6319,4617,7507283,4569618
P6321,4618,7544307,4620909
P6322,4619,7550333,4615773
P6323,4620,7556612,4612230
P6324,4621,7561076,4615779
P6325,4622,7555047,4607086
P6326,4623,7555913,4603057
P6327,4624,7555751,4598547
P6328,4625,7558316,4603349
P6329,4626,7562057,4599246
P6330,4627,7561078,4606572
P6331,4628,7575363,4604212
P6332,4629,7576684,4609975
P6333,4630,7579274,4600413
P6334,4631,7579148,4594610
P6335,4632,7572595,4593931
P6336,4633,7585446,4593488
P6337,4634,7585670,4590741
P6338,4635,7584660,4591807
P6339,4636,7577986,4589995
P6340,4637,7570986,4586609
P6341,4638,7577195,4583847
P6342,4639,7581871,4582964
P6343,4640,7587726,4577965
P6344,4641,7595905,4574930
P6345,4642,7580762,4561198
P6346,4643,7583930,4563537
P6347,4644,7586809,4558993
P6348,4645,7599865,4560964
P6349,4646,7598132,4562846
P6350,4647,7595358,4567143
P6352,4648,7494178,4593061
P6354,4649,7500936,4585070
P6355,4650,7497280,4583079
P6356,4651,7500540,4578977
P6360,4652,7589243,4663810
P6362,4653,7589472,4672064
P6363,4654,7591965,4670266
P6364,4655,7596004,4669988
P6365,4656,7604655,4691342
P6366,4657,7564973,4620973
P6367,4658,7568440,4614643
P6368,4659,7570819,4619901
P6369,4660,7515768,4546577
P6370,4661,7517758,4548318
P6371,4662,7519712,4544357
P6372,4663,7521345,4539243
P6373,4664,7527529,4554396
P6374,4665,7525677,4553240
P6375,4666,7526203,4550676
P6376,4667,7528046,4549178
P6377,4668,7532068,4550613
P6378,4669,7535704,4552915
P6379,4670,7534579,4557952
P6380,4671,7535177,4560379
P6381,4672,7535019,4539564
P6382,4673,7536112,4530819
P6383,4674,7539736,4530497
P6384,4675,7544316,4530508
P6385,4676,7545536,4531860
P6386,4677,7548693,4534491
P6387,4678,7537596,4544988
P6388,4679,7544622,4547973
P6389,4680,7547406,4546654
P6390,4681,7544435,4546242
P6391,4682,7543265,4657191
P6392,4683,7546735,4646118
P6393,4684,7532278,4653657
P6394,4685,7545943,4647137
P6395,4686,7553091,4650147
P6396,4687,7533055,4646529
P6397,4688,7535080,4660812
P6398,4689,7548996,4651425
P6399,4690,7534935,4660274
P6400,4691,7544960,4651718
P6401,4692,7535368,4644745
P6402,4693,7548511,4654653
P6403,4694,7550177,4645052
P6404,4695,7537420,4655833
P6405,4696,7550876,4646079
P6406,4697,7560351,4645841
P6407,4698,7531574,4654986
P6408,4699,7542057,4654107
P6409,4700,7560539,4644945
P6410,4701,7520492,4596546
P6411,4702,7624049,4577019
P6412,4703,7622050,4577256
P6413,4704,7628251,4574115
P6414,4705,7632006,4574661
P6415,4706,7632512,4571915
P6416,4707,7625780,4571171
P6417,4708,7617326,4582925
P6418,4709,7615989,4586563
P6419,4710,7460062,4601336
P6420,4711,7463737,4593641
P6421,4712,7462667,4592525
P6422,4713,7462426,4592162
P6423,4714,7649608,4620614
P6424,4715,7644803,4627833
P6425,4716,7653230,4623478
P6426,4717,7654228,4624666
P6427,4718,7653773,4620774
P6428,4719,7662246,4624733
P6429,4720,7651904,4609786
P6430,4721,7652290,4613330
P6431,4722,7644502,4612221
P6432,4723,7656051,4632945
P6433,4724,7558797,4669115
P6434,4725,7559191,4668659
P6435,4726,7549340,4667174
P6436,4727,7557729,4662571
P6437,4728,7571127,4658379
P6438,4729,7572465,4668436
P6440,4730,7609392,4638027
P6441,4731,7606202,4634443
P6442,4732,7607112,4639676
P6443,4733,7613718,4640331
P6444,4734,7614687,4639806
P6445,4735,7619984,4636481
P6446,4736,7616738,4640145
P6447,4737,7612641,4649319
P6448,4738,7611241,4655372
P6449,4739,7521256,4581652
P6450,4740,7520712,4582575
P6451,4741,7624023,4639036
P6452,4742,7622240,4639492
P6453,4743,7626537,4645334
P6454,4744,7631026,4637699
P6455,4745,7632202,4634163
P6456,4746,7631837,4630373
P6457,4747,7602913,4645745
P6458,4748,7597027,4652424
P6459,4749,7480864,4565205
P6460,4750,7527915,4582691
P6461,4751,7602472,4639453
P6462,4752,7493975,4629634
P6463,4753,7496633,4633195
P6464,4754,7487871,4616252
P6465,4755,7481521,4614438
P6466,4756,7479054,4612128
P6467,4757,7483704,4616522
P6468,4758,7477251,4616344
P6469,4759,7474978,4616340
P6470,4760,7472730,4618583
P6471,4761,7471083,4604976
P6472,4762,7476205,4599750
P6473,4763,7479417,4599086
P6466,4764,7474087,4609931
P6475,4765,7474257,4611433
P6476,4766,7475265,4611972
P6477,4767,7475745,4608584
P6493,4768,7620220,4579137
P6494,4769,7539523,4534168
P6495,4770,7646910,4633740
P6496,4771,7647464,4635460
P6497,4772,7646611,4635747
P6498,4773,7652415,4642297
P6499,4774,7650669,4640129
P6500,4775,7645247,4642385
