ProfID,OBJECTID,HorNO,HorID,DepthFrom,DepthTo,SOC
P0127,25825,1,P0127H01,0,14,3.5
P0127,25826,2,P0127H02,14,36,2.2
P0128,25827,1,P0128H01,0,20,2.0
P0128,25828,2,P0128H02,20,32,1.7
P0129,25829,1,P0129H01,0,18,3.2
P0129,25830,2,P0129H02,18,38,2.5
P0130,25831,1,P0130H01,0,14,3.9
P0131,25832,1,P0131H01,0,20,1.2
P0131,25833,2,P0131H02,20,50,1.0
P0132,25834,1,P0132H01,0,20,1.3
P0132,25834,1,P0132H01,0,20,1.3
P0132,25835,2,P0132H02,20,60,0.5
P0132,25835,2,P0132H02,20,60,0.5
P0142,25836,1,P0142H01,0,20,1.9
P0142,25837,2,P0142H02,60,80,1.1
P0143,25838,1,P0143H01,0,20,2.2
P0143,25839,2,P0143H02,60,80,1.2
P0148,25840,1,P0148H01,0,20,2.5
P0148,25840,1,P0148H01,0,20,2.5
P0148,25841,2,P0148H02,20,50,1.0
P0148,25841,2,P0148H02,20,50,1.0
P0153,25842,1,P0153H01,0,20,2.2
P0153,25843,2,P0153H02,20,40,1.6
P0153,25844,3,P0153H03,40,70,0.8
P0164,25845,1,P0164H01,0,20,1.8
P0164,25846,2,P0164H02,20,50,1.0
P0164,25847,3,P0164H03,90,110,-9999.0
P0165,25848,1,P0165H01,0,20,1.9
P0165,25849,2,P0165H02,20,50,1.5
P0165,25850,3,P0165H03,50,80,1.4
P0165,25851,4,P0165H04,80,120,0.9
P0168,25852,1,P0168H01,0,20,1.6
P0168,25853,2,P0168H02,20,70,0.7
P0168,25854,3,P0168H03,70,90,0.7
P0175,25855,1,P0175H01,0,20,1.9
P0175,25855,1,P0175H01,0,20,1.9
P0175,25856,2,P0175H02,20,40,1.7
P0175,25856,2,P0175H02,20,40,1.7
P0175,25857,3,P0175H03,80,100,1.0
P0175,25857,3,P0175H03,80,100,1.0
P0179,25858,1,P0179H01,0,30,1.3
P0179,25859,2,P0179H02,30,70,0.8
P0179,25860,3,P0179H03,70,85,0.7
P0179,25861,4,P0179H04,85,120,0.5
P0197,25862,1,P0197H01,0,20,2.3
P0197,25863,2,P0197H02,20,50,1.5
P0231,25864,1,P0231H01,0,20,1.2
P0231,25865,2,P0231H02,20,50,0.9
P0246,25866,1,P0246H01,0,20,2.3
P0246,25867,2,P0246H02,20,40,1.4
P0249,25868,1,P0249H01,0,40,1.0
P0249,25869,2,P0249H02,100,120,0.4
P0255,25870,1,P0255H01,0,30,2.3
P0255,25871,2,P0255H02,30,50,1.1
P0260,25872,1,P0260H01,0,50,2.3
P0260,25873,2,P0260H02,50,70,1.0
P0280,25874,1,P0280H01,0,20,1.1
P0280,25875,2,P0280H02,20,40,0.9
P0283,25876,1,P0283H01,0,20,1.3
P0293,25877,1,P0293H01,0,20,1.4
P0295,25878,1,P0295H01,0,20,1.5
P0299,25879,1,P0299H01,0,40,1.3
P0299,25880,2,P0299H02,40,60,0.7
P0306,25881,1,P0306H01,0,50,2.7
P0306,25882,2,P0306H02,50,70,1.4
P0307,25883,1,P0307H01,0,20,2.2
P0307,25884,2,P0307H02,20,75,1.8
P0307,25885,3,P0307H03,75,98,0.7
P0313,25886,1,P0313H01,0,40,2.6
P0313,25887,2,P0313H02,40,60,0.7
P0314,25888,1,P0314H01,0,20,2.4
P0314,25889,2,P0314H02,20,60,1.0
P0314,25890,3,P0314H03,60,80,0.5
P0319,25891,1,P0319H01,0,40,2.6
P0319,25892,2,P0319H02,40,58,1.8
P0319,25893,3,P0319H03,58,72,1.4
P0320,31415,1,P0320H01,0,8,1.5
P0320,31416,2,P0320H02,8,22,1.2
P0321,31417,1,P0321H01,0,13,1.5
P0322,31418,1,P0322H01,0,15,0.9
P0323,31419,1,P0323H01,0,12,0.8
P0324,31420,1,P0324H01,0,10,1.5
P0325,31421,1,P0325H01,0,8,0.9
P0326,31422,1,P0326H01,0,12,3.9
P0326,31423,2,P0326H02,12,35,-9999.0
P0327,31424,1,P0327H01,0,5,5.8
P0327,31425,2,P0327H02,5,14,4.5
P0327,31426,3,P0327H03,14,40,2.4
P0328,31427,1,P0328H01,0,14,5.2
P0328,31428,2,P0328H02,14,35,3.5
P0329,31429,1,P0329H01,0,10,1.8
P0329,31430,2,P0329H02,10,25,5.5
P0329,31431,3,P0329H03,25,47,4.7
P0330,31432,1,P0330H01,0,11,2.0
P0330,31433,2,P0330H02,11,35,5.2
P0330,31434,3,P0330H03,35,55,2.1
P0331,31435,1,P0331H01,0,7,1.3
P0331,31436,2,P0331H02,7,19,0.8
P0331,31437,3,P0331H03,19,33,1.9
P0332,31438,1,P0332H01,0,8,1.9
P0333,31439,1,P0333H01,0,18,4.7
P0334,31440,1,P0334H01,0,14,0.8
P0335,31441,1,P0335H01,0,16,1.3
P0336,31442,1,P0336H01,0,16,1.1
P0336,31443,2,P0336H02,16,32,2.9
P0337,31444,1,P0337H01,0,15,2.1
P0338,31445,1,P0338H01,0,10,1.6
P0339,31446,1,P0339H01,0,8,1.2
P0340,31447,1,P0340H01,0,13,1.7
P0340,31448,2,P0340H02,13,28,0.8
P0341,31449,1,P0341H01,0,18,0.7
P0342,31450,1,P0342H01,0,16,1.5
P0343,31451,1,P0343H01,0,15,0.8
P0343,31452,2,P0343H02,15,23,-9999.0
P0344,31453,1,P0344H01,0,15,0.5
P0345,31454,1,P0345H01,0,16,1.5
P0345,31455,2,P0345H02,16,35,1.6
P0346,31456,1,P0346H01,0,20,0.8
P0346,31457,2,P0346H02,20,35,0.7
P0347,31458,1,P0347H01,0,18,-9999.0
P0347,31459,2,P0347H02,18,44,1.3
P0347,31460,3,P0347H03,44,70,1.1
P0348,31461,1,P0348H01,0,20,0.9
P0348,31462,2,P0348H02,20,34,1.4
P0348,31463,3,P0348H03,34,50,1.1
P0348,31464,4,P0348H04,50,70,0.7
P0349,31465,1,P0349H01,0,16,1.3
P0349,31466,2,P0349H02,16,40,0.8
P0349,31467,3,P0349H03,40,70,2.5
P0350,31468,1,P0350H01,0,18,1.6
P0350,31469,2,P0350H02,18,45,1.2
P0350,31470,3,P0350H03,45,60,1.1
P0351,31471,1,P0351H01,0,16,-9999.0
P0351,31471,1,P0351H01,0,16,-9999.0
P0352,31472,1,P0352H01,0,8,1.6
P0353,31473,1,P0353H01,0,18,1.7
P0353,31474,2,P0353H02,18,37,1.6
P0353,31475,3,P0353H03,37,55,1.2
P0354,31476,1,P0354H01,0,10,0.7
P0356,31477,1,P0356H01,0,15,2.8
P0356,31478,2,P0356H02,15,32,0.4
P0357,31479,1,P0357H01,0,20,1.6
P0358,31480,1,P0358H01,0,18,1.5
P0358,31481,2,P0358H02,18,45,1.5
P0359,31482,1,P0359H01,0,20,1.2
P0359,31483,2,P0359H02,20,45,1.8
P0360,31484,1,P0360H01,0,18,0.8
P0360,31485,2,P0360H02,18,35,2.6
P0361,31486,1,P0361H01,0,30,1.5
P0361,31487,2,P0361H02,30,62,1.3
P0361,31488,3,P0361H03,62,100,0.8
P0361,31489,4,P0361H04,100,150,1.4
P0362,31490,1,P0362H01,0,26,0.6
P0362,31491,2,P0362H02,26,55,0.7
P0363,31492,1,P0363H01,0,20,0.7
P0364,31493,1,P0364H01,0,20,0.5
P0364,31494,2,P0364H02,20,50,1.7
P0364,31495,3,P0364H03,50,75,1.3
P0365,31496,1,P0365H01,0,18,0.8
P0365,31497,2,P0365H02,18,40,0.7
P0366,31498,1,P0366H01,0,20,1.3
P0366,31499,2,P0366H02,20,48,0.6
P0366,31500,3,P0366H03,48,70,1.7
P0367,31501,1,P0367H01,0,18,0.7
P0367,31502,2,P0367H02,18,43,1.8
P0367,31503,3,P0367H03,43,75,1.3
P0367,31504,4,P0367H04,75,94,1.8
P0368,31505,1,P0368H01,0,20,1.1
P0368,31506,2,P0368H02,20,45,0.8
P0369,31507,1,P0369H01,0,18,0.6
P0369,31508,2,P0369H02,18,45,4.1
P0370,31509,1,P0370H01,0,10,1.0
P0371,31510,1,P0371H01,0,15,0.9
P0372,31511,1,P0372H01,0,18,0.8
P0372,31512,2,P0372H02,18,32,2.0
P0372,31513,3,P0372H03,32,70,0.9
P0373,31514,1,P0373H01,0,13,1.1
P0373,31515,2,P0373H02,13,38,0.9
P0374,31516,1,P0374H01,0,16,1.3
P0374,31517,2,P0374H02,16,30,1.4
P0374,31518,3,P0374H03,30,55,0.9
P0375,31519,1,P0375H01,0,16,0.9
P0376,31520,1,P0376H01,0,10,2.3
P0377,31521,1,P0377H01,0,12,0.9
P0378,31522,1,P0378H01,0,8,0.7
P0379,31523,1,P0379H01,0,16,1.1
P0379,31523,1,P0379H01,0,16,1.1
P0380,31524,1,P0380H01,0,20,0.9
P0380,31525,2,P0380H02,20,42,0.7
P0381,31526,1,P0381H01,0,8,0.8
P0382,31527,1,P0382H01,0,12,0.7
P0383,31528,1,P0383H01,0,14,0.5
P0384,31529,1,P0384H01,0,16,1.1
P0385,31530,1,P0385H01,0,15,0.8
P0386,31531,1,P0386H01,0,8,0.5
P0387,31532,1,P0387H01,0,18,0.6
P0387,31533,2,P0387H02,18,32,1.3
P0387,31534,3,P0387H03,32,50,1.0
P0387,31535,4,P0387H04,50,75,1.1
P0388,31536,1,P0388H01,0,15,2.5
P0388,31537,2,P0388H02,15,28,1.2
P0388,31538,3,P0388H03,28,42,1.7
P0389,31539,1,P0389H01,0,10,1.1
P0390,31540,1,P0390H01,0,20,1.0
P0390,31541,2,P0390H02,20,37,1.1
P0391,31542,1,P0391H01,0,16,0.5
P0391,31542,1,P0391H01,0,16,0.5
P0392,31543,1,P0392H01,0,18,0.4
P0393,31544,1,P0393H01,0,13,0.3
P0394,31545,1,P0394H01,0,18,0.7
P0394,31546,2,P0394H02,18,33,0.9
P0394,31547,3,P0394H03,33,48,2.7
P0395,31548,1,P0395H01,0,22,2.5
P0396,31549,1,P0396H01,0,16,1.2
P0396,31550,2,P0396H02,16,33,1.2
P0396,31551,3,P0396H03,33,50,1.6
P0397,31552,1,P0397H01,0,22,2.3
P0398,31553,1,P0398H01,0,8,4.1
P0399,31554,1,P0399H01,0,17,4.1
P0399,31555,2,P0399H02,17,32,1.7
P0399,31556,3,P0399H03,32,70,5.0
P0400,31557,1,P0400H01,0,8,1.5
P0401,31558,1,P0401H01,0,10,3.1
P0402,31559,1,P0402H01,0,18,2.4
P0403,31560,1,P0403H01,0,14,1.9
P0404,31561,1,P0404H01,0,13,1.1
P0404,31562,2,P0404H02,13,28,2.4
P0405,31563,1,P0405H01,0,14,3.9
P0405,31564,2,P0405H02,14,35,4.5
P0406,31565,1,P0406H01,0,12,2.4
P0407,31566,1,P0407H01,10,18,1.1
P0407,31567,2,P0407H02,18,35,-9999.0
P0408,31568,1,P0408H01,0,16,-9999.0
P0408,31568,1,P0408H01,0,16,-9999.0
P0409,31569,1,P0409H01,0,15,2.8
P0410,31570,1,P0410H01,0,16,3.2
P0411,31571,1,P0411H01,0,14,4.5
P0412,31572,1,P0412H01,0,14,2.4
P0412,31573,2,P0412H02,14,70,1.1
P0413,31574,1,P0413H01,0,17,-9999.0
P0413,31575,2,P0413H02,17,65,-9999.0
P0414,31576,1,P0414H01,0,14,2.8
P0415,31577,1,P0415H01,0,15,3.2
P0416,31578,1,P0416H01,0,6,3.1
P0417,31579,1,P0417H01,0,7,3.1
P0418,31580,1,P0418H01,0,20,1.3
P0419,31581,1,P0419H01,0,20,1.4
P0419,31582,2,P0419H02,20,38,1.9
P0420,31583,1,P0420H01,0,18,1.1
P0421,31584,1,P0421H01,0,10,0.9
P0422,31585,1,P0422H01,0,18,5.9
P0423,31586,1,P0423H01,0,6,1.1
P0424,31587,1,P0424H01,0,4,0.9
P0424,31588,2,P0424H02,4,27,7.7
P0424,31589,3,P0424H03,27,50,3.1
